ID, Domain, len, objs, gen_seq_rate, l_exe, gt_exe
0, blocksworld, 10, 19, 0.1, 0.49481446543722457, 0.0
0, blocksworld, 10, 19, 0.2, 0.49481446543722457, 0.0
0, blocksworld, 10, 19, 0.3, 0.49481446543722457, 0.010526315789473684
0, blocksworld, 10, 19, 0.4, 0.49481446543722457, 0.010526315789473684
0, blocksworld, 10, 19, 0.5, 0.49481446543722457, 0.030303030303030304
0, blocksworld, 10, 19, 0.6, 0.49481446543722457, 0.029180695847362513
0, blocksworld, 10, 19, 0.7, 0.49481446543722457, 0.028058361391694726
0, blocksworld, 10, 19, 0.8, 0.49481446543722457, 0.030303030303030304
0, blocksworld, 10, 19, 0.9, 0.49481446543722457, 0.030303030303030304
0, blocksworld, 10, 19, 1.0, 0.49481446543722457, 0.030303030303030304
1, blocksworld, 30, 19, 0.1, 0.54726748531232, 0.9896067415730337
1, blocksworld, 30, 19, 0.2, 0.54726748531232, 0.9954855777436423
1, blocksworld, 30, 19, 0.3, 0.54726748531232, 0.9958479532163742
1, blocksworld, 30, 19, 0.4, 0.54726748531232, 0.9737426900584795
1, blocksworld, 30, 19, 0.5, 0.54726748531232, 0.4335016835016835
1, blocksworld, 30, 19, 0.6, 0.54726748531232, 0.0707070707070707
1, blocksworld, 30, 19, 0.7, 0.54726748531232, 0.06060606060606061
1, blocksworld, 30, 19, 0.8, 0.54726748531232, 0.06060606060606061
1, blocksworld, 30, 19, 0.9, 0.54726748531232, 0.06060606060606061
1, blocksworld, 30, 19, 1.0, 0.54726748531232, 0.06060606060606061
2, blocksworld, 50, 18, 0.1, 0.5893494360618644, 0.8112373165743952
2, blocksworld, 50, 18, 0.2, 0.5893494360618644, 0.8388310315729671
2, blocksworld, 50, 18, 0.3, 0.5893494360618644, 0.8578833544623019
2, blocksworld, 50, 18, 0.4, 0.5893494360618644, 0.8750864729812098
2, blocksworld, 50, 18, 0.5, 0.5893494360618644, 0.9198305809416921
2, blocksworld, 50, 18, 0.6, 0.5893494360618644, 0.9787317620650954
2, blocksworld, 50, 18, 0.7, 0.5893494360618644, 0.9913019079685746
2, blocksworld, 50, 18, 0.8, 0.5893494360618644, 0.9941077441077442
2, blocksworld, 50, 18, 0.9, 0.5893494360618644, 0.9932659932659933
2, blocksworld, 50, 18, 1.0, 0.5893494360618644, 0.9949494949494949
3, blocksworld, 92, 15, 0.1, 0.3736530849672458, 0.8320848938826467
3, blocksworld, 92, 15, 0.2, 0.3736530849672458, 0.8548387096774194
3, blocksworld, 92, 15, 0.3, 0.3736530849672458, 0.8385964912280702
3, blocksworld, 92, 15, 0.4, 0.3736530849672458, 0.8549707602339182
3, blocksworld, 92, 15, 0.5, 0.3736530849672458, 0.8333333333333334
3, blocksworld, 92, 15, 0.6, 0.3736530849672458, 0.8434343434343434
3, blocksworld, 92, 15, 0.7, 0.3736530849672458, 0.851290684624018
3, blocksworld, 92, 15, 0.8, 0.3736530849672458, 0.8400673400673401
3, blocksworld, 92, 15, 0.9, 0.3736530849672458, 0.8445566778900112
